Solvent Name,SMILES,Inchi,deltaG_bdo,deltaG_wat
CIS-DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.271077257610235,5.7430125687154066
N-HEXADECANE,CCCCCCCCCCCCCCCC,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",4.251875482208777,5.815025501556934
N-PENTADECANE,CCCCCCCCCCCCCCC,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",4.236062255420166,5.812929621492951
DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.214726949402693,5.731278150416498
N-DODECANE,CCCCCCCCCCCC,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",4.159443406520993,5.800304140411654
TRANS-DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.158376641195151,5.719876311883895
HEXANOIC ACID,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",4.156180359700696,4.67125229707258
CYCLOHEXANE,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,4.108740679299192,5.77795854492314
N-DECANE,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",4.095186484919146,5.789002703327359
N-UNDECANE,CCCCCCCCCCC,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",4.0727844136115,5.7803556293052925
"CIS-1,2-DIMETHYLCYCLOHEXANE",C[C@@H]1CCCC[C@@H]1C,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",4.0667603272124415,5.742165431562195
N-NONANE,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",4.062179511516873,5.790653051995689
CYCLOPENTANE,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,4.017061614402373,5.775228880774682
N-OCTANE,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",4.013045556826781,5.784202259476995
"1,4-DIOXANE",C1COCCO1,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,4.002691658317252,5.097487785325448
METHYLCYCLOHEXANE,CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",3.9944712904237387,5.7348988773473435
N-HEPTANE,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",3.9617153206065643,5.7828531151268345
PENTANOIC ACID,CCCCC(=O)O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",3.9378699785954283,4.518027149455272
N-HEXANE,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",3.899403676914073,5.777983645285217
"2,4-DIMETHYLPENTANE",CC(C)CC(C)C,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",3.8422376070014566,5.751929471607506
N-PENTANE,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",3.824102596925841,5.778548403387358
2-METHYLPENTANE,CCCC(C)C,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",3.811803420506956,5.743100419973758
"2,2,4-TRIMETHYLPENTANE",CC(C)CC(C)(C)C,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",3.8028300418224776,5.715050767680371
1-HEXENE,CCCCC=C,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",3.531055893916648,5.489467557265274
1-PENTENE,CCCC=C,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",3.4776548779945258,5.512390461036968
N-BUTYLBENZENE,CCCCC1=CC=CC=C1,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",3.4676774848983145,5.281109468903058
E-2-PENTENE,CC/C=C/C,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+",3.4482874568258675,5.471432948602296
BUTANOIC ACID,CCCC(=O)O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",3.4347960133242603,4.123060434677995
SEC-BUTYLBENZENE,CCC(C)C1=CC=CC=C1,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3",3.4195475446199555,5.262315574354138
P-ISOPROPYLTOLUENE,CC1=CC=C(C=C1)C(C)C,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",3.4031695597113685,5.276942809146088
TERT-BUTYLBENZENE,CC(C)(C)C1=CC=CC=C1,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",3.377629943411644,5.248259372759307
"1,2,4-TRIMETHYLBENZENE",CC1=CC(=C(C=C1)C)C,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",3.3677153011938725,5.212077203812923
MESITYLENE,CC1=CC(=CC(=C1)C)C,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",3.357675157219221,5.2482656478453675
P-XYLENE,CC1=CC=C(C=C1)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",3.343493453805089,5.266795988619234
ISOPROPYLBENZENE,CC(C)C1=CC=CC=C1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",3.298438307604699,5.2107657100058775
M-XYLENE,CC1=CC(=CC=C1)C,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",3.2908454487096015,5.217944412962377
TETRALIN,C1CCC2=CC=CC=C2C1,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",3.2797385394091076,5.051974557557285
XYLENE,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",3.2653685833239865,5.1938543424522035
ETHYLBENZENE,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",3.236001162119659,5.175261250782063
O-XYLENE,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",3.175697547214964,5.108337415936949
TOLUENE,CC1=CC=CC=C1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",3.1183432245956886,5.166294147174727
BENZENE,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,3.05998488760035,5.188018508759804
PROPANOIC ACID,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",2.9099474857081926,3.681407050299096
DIBUTYLETHER,CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",2.8453140587286976,4.592506192670204
1-HEXYNE,CCCCC#C,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",2.8301910918169417,4.598806383025356
TRIETHYLAMINE,CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",2.6611401671943153,4.452477559313478
ANISOLE,COC1=CC=CC=C1,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",2.513550050417381,4.434122921065232
ETHYL PHENYL ETHER,CCOC1=CC=CC=C1,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",2.389742524701803,4.370920214590353
DIPROPYLAMINE,CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",2.3078526001945368,3.9389367438945184
DIISOPROPYL ETHER,CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",2.1239297123165923,4.309229804792382
METHYL BENZOATE,COC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",2.083329880019222,3.961884748028289
PENTYL ETHANOATE,CCCCCOC(=O)C,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",2.0690226748125404,4.092940002673784
BUTYL ETHANOATE,CCCCOC(=O)C,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",2.0109153414023004,4.043159713709261
METHYL BUTANOATE,CCCC(=O)OC,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",1.8810209784092242,3.9524219123100655
PROPYL ETHANOATE,CCCOC(=O)C,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",1.8313222655991563,3.9380896067502245
O-NITROTOLUENE,CC1=CC=CC=C1[N+](=O)[O-],"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",1.8042766277175024,3.7797000600591915
METHYL PROPANOATE,CCC(=O)OC,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",1.7769799862150801,3.8893760830758732
TETRAHYDROFURAN,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,1.7269675189058045,3.7836847422044815
METHYL ETHANOATE,CC(=O)OC,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,1.724582984704691,3.829003442188843
ETHYL ETHANOATE,CCOC(=O)C,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",1.7244574829121417,3.8751755544035595
DIETHYL ETHER,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",1.7243947319980322,4.046711414648854
DIPHENYLETHER,C1=CC=C(C=C1)OC2=CC=CC=C2,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,1.696658834203853,4.315034263045563
CYCLOHEXANONE,C1CCC(=O)CC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,1.679778842125069,3.5421690782853674
CYCLOPENTANONE,C1CCC(=O)C1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,1.6758255354279163,3.592953381652707
DIETHYLAMINE,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",1.6390535079994795,3.529618898290301
NITROMETHANE,C[N+](=O)[O-],InChI=1S/CH3NO2/c1-2(3)4/h1H3,1.6125726282021318,3.2328698921868884
METHYL METHANOATE,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",1.6021559788141635,3.7709337593217183
NITROETHANE,CC[N+](=O)[O-],"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",1.5527710205033034,3.517313446794273
NITROBENZENE,C1=CC=C(C=C1)[N+](=O)[O-],InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,1.545115410694096,3.6616467918815574
1-NITROPROPANE,CCC[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",1.5394678297083548,3.6468187542197454
ACETOPHENONE,CC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",1.5228388412146692,3.5504961227132483
ETHYL METHANOATE,CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",1.4919653984284116,3.7534890091229585
2-NITROPROPANE,CC(C)[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",1.4550678692074257,3.5933989130483592
BENZONITRILE,C1=CC=C(C=C1)C#N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,1.4482907720174023,3.613184271819057
"2,6-DIMETHYLPYRIDINE",CC1=NC(=CC=C1)C,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",1.411895250002283,3.564451922877607
PENTANAL,CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",1.4027336186111459,3.6187816520984795
2-OCTANONE,CCCCCCC(=O)C,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",1.35855698499427,3.570093228786205
PENTYLAMINE,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",1.3528466530944194,2.9304544798128007
4-METHYLPYRIDINE,CC1=CC=NC=C1,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",1.3304445818224433,3.4943842679365185
"N,N-DIMETHYLFORMAMIDE",CN(C)C=O,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",1.323981239095958,3.1833719822645175
"2,4-DIMETHYLPYRIDINE",CC1=CC(=NC=C1)C,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",1.320655441397221,3.4565894008649196
ACETIC ACID,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",1.3173923946125932,2.3666564685855276
3-METHYLPYRIDINE,CC1=CN=CC=C1,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",1.3119958172119504,3.493072774129473
PYRIDINE,C1=CC=NC=C1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,1.3116820627127426,3.4878456241594726
5-NONANONE,CCCCC(=O)CCCC,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",1.303461694819229,3.5269143344950016
2-METHYLPYRIDINE,CC1=CC=CC=N1,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",1.295053074219057,3.477717628899718
FORMAMIDE,C(=O)N,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",1.2910370166077947,1.2982094444693169
2-HEPTANONE,CCCCCC(=O)C,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",1.273843269994133,3.4937065582139493
BENZALDEHYDE,C1=CC=C(C=C1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,1.270078216003639,3.537149006289124
BUTANONITRILE,CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",1.2677564327166349,3.510674401577837
BUTANAL,CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",1.1847997429191957,3.48303263012807
BUTYLAMINE,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",1.1815994470130078,2.78191682442543
4-HEPTANONE,CCCC(=O)CCC,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",1.1635271878158322,3.4449051832901643
2-HEXANONE,CCCCC(=O)C,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",1.1557460762140757,3.4148286769151297
PROPANONITRILE,CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",1.1440116579151665,3.3474655857693407
"N,N-DIMETHYLACETAMIDE",CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,1.135791290021653,3.09109678381742
FORMIC ACID,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1.1351637810232373,1.8315105182968976
N-METHYLANILINE,CNC1=CC=CC=C1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",1.08540231729906,2.662916017664112
4-METHYL-2-PENTANONE,CC(C)CC(=O)C,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",1.046434008411838,3.394227556448275
3-PENTANONE,CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",1.0354526009038936,3.3523225054299193
2-PENTANONE,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",0.969564155927567,3.34021158172661
BUTANONE,CCC(=O)C,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",0.9616575424975916,3.320959605609916
ACETONITRILE,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,0.9599005172948937,2.911371931126749
PROPYLAMINE,CCCN,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",0.9385652113130905,2.632870886746132
PROPANAL,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",0.9340471464959617,3.3598714386958415
ACETONE,CC(=O)C,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.7349385408278217,3.0110956614092963
O-CRESOL,CC1=CC=CC=C1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",0.5794418106209119,1.9413810691062983
ANILINE,C1=CC=C(C=C1)N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",0.5117963404062176,2.0275066793528707
"1,2-ETHANEDIOL",C(CO)O,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",0.3817137247064829,0.8304767860417119
WATER,O,InChI=1S/H2O/h1H2,0.0,0.0
M-CRESOL,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",-0.16660363947173357,1.3464586114719994
1-DECANOL,CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",-0.3380390982954735,1.232277073837062
1-NONANOL,CCCCCCCCCO,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",-0.5990200914000173,1.044495005588542
1-OCTANOL,CCCCCCCCO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",-0.8369715041984997,0.8681085007776465
CYCLOPENTANOL,C1CCC(C1)O,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",-0.8487686733758487,0.7140738665502431
BENZYL ALCOHOL,C1=CC=C(C=C1)CO,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",-0.9073780139919552,0.7854655654794152
2-METHOXYETHANOL,COCCO,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",-0.9601515208799921,0.5094118061961866
1-HEPTANOL,CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-1.0459947520844113,0.7234363008290771
1-HEXANOL,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-1.2183087234916652,0.6136096756488519
2-METHYL-2-PROPANOL,CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",-1.4080674450976793,0.6423244874837699
1-PENTANOL,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-1.4228766574745575,0.4594683648870808
N-METHYLFORMAMIDE,CNC=O,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",-1.4770934351017542,-0.058019482142971174
2-BUTANOL,CCC(C)O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",-1.5365812883013747,0.45970681830897564
1-BUTANOL,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-1.5436093890764966,0.36651545671741403
2-PROPEN-1-OL,C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",-1.6995453755751635,0.266710150262576
2-METHYL-1-PROPANOL,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",-1.708895259672959,0.32155443687035346
2-PROPANOL,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-1.755832932904266,0.3217050390249795
1-PROPANOL,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-1.790283176974359,0.23692229803358997
ETHANOL,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-1.9526197552854017,0.12772945694675844
METHANOL,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",-2.195904994606087,-0.14801682292332277
